Area_SqFt,Bedrooms,Bathrooms,Age_Years,Location_Rating,Garage_Cars,Price_USD
2558,4,4,30,9,0,733527
3672,4,4,26,6,0,85443
3034,1,2,26,1,1,503856
2596,1,1,20,4,1,175155
2995,5,4,28,6,1,190560
789,2,3,20,6,0,557103
1104,2,3,11,8,1,220620
1814,5,3,10,1,1,268721
2131,5,3,23,2,0,409969
4040,4,4,19,2,1,209232
4080,5,2,18,6,1,499421
1423,3,2,27,7,2,384424
1528,2,3,6,2,1,538061
1533,5,2,10,5,2,358996
1740,3,3,2,6,1,367165
733,3,3,24,4,1,66195
2705,3,1,28,1,2,477502
4227,3,4,28,3,1,137674
1284,4,4,2,9,2,578412
3319,3,3,5,6,1,348863
2820,4,4,11,2,2,600480
2452,4,2,10,9,2,667924
1414,3,3,2,4,1,131812
1772,2,1,15,8,1,87551
679,3,2,7,7,2,180920
3533,3,1,20,3,0,121444
3884,3,1,34,8,1,748484
802,2,4,34,4,1,335798
3411,1,4,22,2,0,60203
1852,1,3,31,5,0,735489
2299,4,4,23,1,2,700572
1850,4,1,19,8,1,394294
2282,2,1,4,8,2,748624
2155,5,2,24,3,1,449956
4112,1,1,20,1,0,240286
4073,4,3,28,4,2,520331
2694,1,3,17,9,1,248955
1856,2,4,19,9,1,506661
3976,2,4,32,1,0,428298
2149,5,4,30,7,0,260733
1766,5,3,17,6,1,570617
4086,2,1,29,7,0,450206
4184,4,4,6,7,0,381343
1996,1,2,17,8,2,685971
4237,3,4,17,8,1,635038
3930,5,3,14,2,2,76119
3303,3,4,24,4,0,346161
1070,4,1,32,4,1,239852
3618,5,4,14,8,0,217276
1635,3,3,27,3,0,472778
1953,4,3,19,3,1,316599
3383,1,2,31,2,0,81497
3431,4,3,9,1,2,325516
1567,5,2,17,8,1,672971
957,2,1,19,9,0,697004
3619,1,3,4,9,0,374072
4079,3,4,11,8,0,77197
1267,5,1,22,5,1,159456
972,2,4,4,1,2,246056
1631,4,4,17,9,0,578851
1745,2,4,8,6,0,717243
1971,5,1,34,7,0,338795
3323,5,1,11,8,1,587100
689,2,3,31,5,0,155981
4319,4,4,11,6,0,302248
3345,2,2,21,7,0,328706
3987,5,3,30,7,1,525765
3849,5,1,10,2,2,582082
1139,3,2,26,1,1,392857
3379,3,1,27,8,2,240607
1468,1,2,8,5,2,514516
640,5,3,8,2,1,439682
1339,3,2,8,3,0,156765
4375,2,3,34,6,2,547853
2546,4,1,16,6,0,148641
3149,2,2,13,8,2,280075
3606,4,4,23,5,0,667257
3816,3,4,12,5,0,340361
1824,1,1,27,7,1,156844
1528,2,2,22,5,0,200061
2636,2,4,32,9,2,669183
4395,2,3,27,6,0,247922
3108,4,2,2,7,0,582005
3379,3,2,33,8,0,575904
3399,2,4,26,5,2,241514
1524,2,3,28,4,2,395641
3556,1,3,19,8,2,739343
2181,1,3,5,9,0,329330
4218,3,2,33,1,1,460722
3924,3,1,20,3,2,494242
989,5,2,30,4,0,240023
2217,1,2,8,7,2,708560
3530,5,4,17,6,1,252407
855,4,1,1,1,0,153133
1308,5,3,3,4,2,132306
2438,2,4,26,6,2,216226
2544,5,2,31,3,1,149854
3097,3,1,8,2,2,503973
609,4,3,8,2,0,231827
3471,2,3,28,4,0,484574
1397,5,2,4,1,1,279046
3913,4,3,16,2,1,447002
3922,4,3,13,2,1,687097
1476,2,1,20,4,0,546208
1628,5,4,5,4,1,607919
3790,4,1,20,1,2,327951
1615,4,4,24,7,2,533908
2424,1,4,34,7,0,714472
973,4,4,34,1,2,596196
3736,1,3,19,8,1,739795
2793,5,1,17,7,2,646004
823,5,3,5,7,1,90432
1862,5,2,25,6,2,160458
2824,3,1,18,4,0,467443
2402,5,4,8,8,1,533017
1452,4,3,27,2,2,275796
3953,2,3,15,7,0,733964
662,1,1,13,3,2,416245
1840,3,1,16,3,0,551340
3474,5,4,22,7,2,288682
3442,5,4,20,3,1,85790
1288,2,2,13,5,1,542110
2084,2,4,20,8,1,484160
2233,3,3,2,4,1,739872
2752,1,2,19,7,1,469123
3770,5,2,6,7,2,533221
1110,3,2,14,2,2,631484
984,4,1,4,8,2,234835
1004,4,4,22,9,2,512790
3470,3,2,34,6,1,425260
1117,5,1,27,5,0,724010
1075,3,1,7,1,1,380114
2600,5,2,3,1,2,717816
3356,2,2,33,9,1,469806
2268,3,3,2,4,1,236800
2493,5,2,16,1,1,411525
3418,3,3,25,3,0,723511
2060,3,2,15,6,1,726347
3694,5,2,24,8,1,377818
3644,5,4,15,2,0,369911
4236,1,2,31,8,1,175737
3324,3,2,14,1,1,263431
1313,4,3,14,2,1,361788
4129,3,3,6,8,1,571908
682,3,4,14,7,1,494651
1768,5,2,17,5,2,461272
3756,3,2,18,2,1,278299
3749,3,3,20,9,0,559256
3104,4,1,17,5,1,146549
2501,5,1,16,8,2,488729
2648,3,1,32,4,0,542159
650,2,3,9,9,0,346804
1284,1,3,27,7,1,62639
1316,4,1,33,2,2,671144
4443,3,1,10,3,1,332766
2069,2,2,17,2,2,178192
1048,3,3,17,5,2,340952
1480,3,3,18,2,1,508852
1087,5,1,23,5,2,524048
2423,5,1,34,9,1,345095
2681,5,4,8,2,2,701197
4019,2,3,13,9,0,257013
2742,3,4,23,7,1,307889
3743,1,2,20,7,2,236148
2174,4,4,22,5,0,705810
2801,5,1,23,8,0,191469
849,5,3,3,7,0,598953
1273,3,3,34,6,0,598848
1037,3,4,33,2,1,348520
2765,2,4,17,6,2,473073
1370,2,2,19,2,0,211382
3977,5,2,30,1,2,232469
867,3,1,23,9,2,442231
2584,1,1,15,5,2,633286
1677,4,1,14,4,1,386997
835,3,4,2,8,1,162304
988,3,4,18,5,0,472264
3637,2,3,6,7,2,372361
4405,4,1,32,3,1,540500
1362,5,4,21,8,1,249692
2448,3,3,28,8,1,214957
3048,5,1,27,3,0,393975
1223,3,2,2,9,1,591391
3414,5,2,33,8,2,315948
3974,4,4,16,1,1,206528
3566,2,3,22,8,1,340372
3878,4,2,13,4,0,322190
1852,1,3,2,6,2,388499
3500,2,3,14,9,1,489791
1177,4,2,28,5,2,454296
2722,1,3,7,7,2,700253
1034,3,2,18,1,1,75930
2750,3,4,4,9,0,140823
4093,5,1,30,6,2,422665
4375,2,1,24,4,1,138880
1363,3,4,20,6,2,278626
3385,2,2,31,5,2,232827
3453,3,2,24,3,2,67293
1929,5,2,7,7,1,652830
2745,4,2,26,3,2,120528
3445,5,4,13,2,2,477572
1958,1,1,8,4,0,168885
3506,3,3,5,7,1,205771
3082,1,3,13,5,1,219506
1046,1,1,29,9,2,638957
2617,2,4,20,7,0,339746
1931,3,3,14,9,2,231858
848,1,1,32,9,2,176032
765,4,4,27,2,1,617193
4152,1,3,25,1,0,237996
3631,4,2,4,4,2,597669
1958,2,2,21,4,1,310666
1619,1,4,18,2,2,350274
1141,5,2,15,3,2,614703
1358,2,4,24,3,0,240200
3777,4,1,8,5,0,144679
4234,2,1,28,1,0,175458
2728,1,3,21,9,2,191460
2780,3,4,16,8,0,661940
1396,3,3,16,8,1,210878
3547,4,3,17,3,2,124333
737,4,1,9,2,0,170930
2831,3,3,29,1,2,583940
4072,4,2,18,6,2,326996
1953,2,3,12,1,1,461843
3432,5,4,19,5,1,744408
4179,5,2,22,9,1,422430
2475,2,1,15,9,2,173120
3631,5,4,1,4,2,660884
668,1,2,2,7,1,448841
3193,2,4,8,7,2,511333
4445,4,2,22,4,1,637770
2700,2,4,25,5,1,399838
2073,3,4,2,9,0,733436
804,4,2,9,7,1,177458
2773,3,1,9,7,0,179614
4418,4,1,13,7,1,538403
642,5,4,6,9,2,511698
4423,2,4,30,5,0,673772
2506,1,1,15,6,2,733439
2758,4,1,15,3,2,480123
1360,4,3,7,1,1,409511
4334,3,1,11,2,1,376756
3854,5,4,2,8,2,693453
3495,3,2,10,1,1,70248
2742,3,1,17,7,1,149169
2594,5,3,7,5,1,679327
4045,1,3,4,6,2,67461
2535,3,3,31,8,0,218070
4191,3,2,25,4,0,728181
1499,4,1,13,6,2,604158
959,5,1,18,3,1,597698
3547,2,1,21,7,1,147721
2319,1,2,1,2,0,79133
880,1,2,8,8,2,611688
3866,5,4,21,7,2,94173
2487,4,3,21,8,1,71179
3866,4,3,27,2,1,252958
1266,5,1,19,3,1,95495
692,4,2,23,4,2,328631
1271,1,2,5,9,0,599048
2569,1,1,8,5,2,449744
660,2,1,11,6,2,151975
3281,5,4,16,1,2,676753
3722,3,3,24,4,0,351547
4074,3,3,21,4,1,175625
4460,2,3,23,8,1,61755
1628,2,4,8,8,2,712788
2089,4,1,7,6,2,131352
1203,2,1,2,8,0,536352
1281,2,3,30,9,0,485832
3181,3,3,13,5,1,438035
2028,4,4,23,1,2,258498
3485,2,2,29,1,0,696421
4184,2,2,20,2,0,478182
3292,4,3,33,2,2,591976
2880,5,4,29,5,2,230556
1123,4,3,15,7,2,733939
2993,3,2,23,7,2,204086
3717,5,3,3,4,2,108443
3193,1,2,29,4,2,233033
2568,4,2,8,3,0,249986
1701,3,2,22,2,2,441230
2353,5,1,29,3,1,620685
2436,4,1,2,8,2,395446
3744,2,3,1,1,1,524899
3441,4,2,20,4,1,435561
2896,1,1,21,7,1,303818
2694,4,3,8,5,2,238250
1744,5,3,27,2,2,61063
2861,5,3,6,1,1,527582
2886,4,3,19,6,2,462550
1679,5,3,18,5,0,135848
2997,2,4,1,3,0,227115
706,4,2,25,9,0,388656
3478,2,3,27,3,0,694975
647,2,4,7,2,2,186230
4244,3,2,29,5,1,562926
936,4,1,31,9,2,719429
1649,5,3,19,8,0,321252
3451,2,4,6,6,2,730964
1880,3,1,25,3,2,74612
2655,4,4,31,6,0,623458
1224,4,2,9,5,1,236173
2490,1,2,20,1,2,650169
1876,1,1,10,5,2,538078
2315,2,4,27,7,0,200435
3366,1,3,13,9,1,133960
902,2,3,2,1,0,71990
1238,5,1,21,3,0,154258
655,2,1,33,8,2,187640
1325,1,1,24,6,1,563619
1125,5,4,34,5,0,366803
1073,1,3,9,2,2,616425
627,2,3,2,3,0,75573
2725,3,3,30,2,2,470050
3887,4,1,22,1,1,69554
4057,1,3,11,7,0,289726
964,2,2,17,3,1,277670
3313,5,1,13,7,1,73015
1125,1,3,7,7,2,119617
3346,1,4,16,8,0,694329
1935,4,1,33,1,0,135195
1482,2,2,1,5,2,442747
1630,3,2,11,9,2,744277
1626,5,4,6,7,1,274722
2246,2,4,20,1,0,197715
1518,5,1,26,8,0,73269
3397,1,1,12,3,2,340502
3010,4,2,30,4,2,552069
2374,4,4,28,4,2,682317
2131,3,1,27,8,0,581579
3945,4,2,19,1,0,143857
4177,1,4,5,8,1,453419
3453,3,2,5,9,2,580542
3386,2,3,27,9,1,252830
2506,4,4,28,5,0,403398
3686,3,1,26,4,1,424036
1815,1,1,27,4,1,116235
2254,5,3,21,9,1,357448
1084,5,4,1,8,2,344316
2675,1,2,28,7,0,658122
1313,1,1,15,3,2,554221
1662,5,3,17,4,1,629145
2576,3,3,26,9,2,201483
1896,5,4,20,8,0,329969
1854,1,4,25,1,0,681062
2733,4,1,13,3,1,476556
4145,2,3,33,2,1,103327
725,4,2,25,2,2,200324
3459,4,3,8,8,0,260344
1136,1,2,5,6,0,450811
2792,5,2,6,6,2,519153
4196,3,1,23,4,0,599610
3883,4,3,30,1,1,464407
2672,5,2,14,7,1,467881
2203,3,4,23,8,2,639792
4065,4,2,11,2,2,117631
666,3,4,31,2,2,567823
832,5,4,6,1,1,426727
2756,2,3,11,4,2,288121
1769,5,4,13,6,0,621306
2758,1,2,12,5,2,243758
2875,3,4,2,4,0,512042
710,2,3,17,4,1,128774
2093,3,1,28,7,0,723873
2681,3,2,28,7,0,392616
1222,4,2,22,2,0,581777
4447,1,3,7,7,1,356748
4040,3,3,15,2,0,308319
3395,5,3,32,4,0,651392
3242,5,3,11,1,2,168818
4225,4,2,24,5,2,680684
3072,1,1,3,1,2,589008
3260,1,4,30,4,0,625013
2141,5,4,6,9,0,544356
3339,2,1,2,8,1,361437
1905,4,1,14,6,0,118271
3991,4,1,18,8,0,739258
2361,5,3,31,5,1,459953
4114,5,2,13,7,0,95308
2575,2,2,26,8,1,518710
2962,2,2,12,7,1,538955
1476,1,3,18,4,2,445518
2589,4,2,9,5,0,351203
4412,4,3,21,6,2,216520
4048,5,2,24,6,0,718346
1912,1,1,34,9,2,444911
2060,4,4,8,2,1,543069
3309,1,4,33,6,1,112934
2924,1,3,23,3,1,544134
2333,5,2,13,2,1,721845
2205,1,4,14,6,0,287112
2126,2,1,14,4,0,442238
3271,2,1,16,5,2,178156
3163,3,1,26,5,0,411208
4021,5,3,26,3,0,333916
3490,3,3,1,4,2,727891
4117,2,2,32,3,1,641852
2997,3,1,15,7,2,548830
2230,5,2,21,1,2,622923
4335,5,2,18,6,1,479135
3470,1,1,30,4,2,213972
1760,4,2,13,1,2,621682
1358,1,4,24,1,2,95030
3546,5,3,30,5,0,529105
842,2,2,2,5,1,730919
3190,2,1,19,7,1,268920
1663,1,3,25,4,2,491224
828,5,3,14,9,0,467269
3195,2,2,6,4,1,495033
1519,5,4,12,7,1,425570
1846,2,2,20,5,2,707940
605,5,4,23,5,2,537628
3993,3,3,30,6,2,239453
1067,5,2,30,8,1,264819
2355,5,1,30,5,2,597803
674,1,2,30,3,2,429445
603,3,4,34,6,2,731695
2470,4,4,16,2,0,118724
1245,1,2,24,8,2,324319
717,4,4,14,8,1,62405
3528,2,3,26,3,2,636803
2229,4,2,8,8,1,591629
3151,5,4,14,9,0,739644
2621,4,2,31,5,0,743362
1546,1,2,2,5,2,282064
3221,1,1,4,6,1,513668
2064,4,2,1,7,2,676084
793,1,1,20,3,2,431604
1446,1,4,14,5,1,141499
3362,4,1,25,1,1,405669
2015,3,1,25,5,1,210013
3697,3,1,3,4,1,478235
2058,2,3,5,1,1,468995
2820,1,1,26,7,0,340570
3971,4,2,4,1,0,515884
2268,1,1,7,8,0,483399
2973,5,2,30,2,1,257386
2033,1,1,30,5,1,620215
1741,1,3,19,6,1,66395
3483,3,4,33,9,2,291122
2410,4,1,33,7,0,721334
1323,1,1,14,6,0,327294
824,3,3,10,5,2,137668
1131,2,1,28,6,2,109572
712,3,2,14,4,0,144028
2787,3,1,16,1,1,294050
1158,3,1,21,9,0,114497
2648,1,4,28,5,1,162300
2737,1,4,33,8,0,82466
1253,2,1,6,7,0,593838
919,5,3,15,8,2,375206
2173,5,4,3,1,2,95394
2428,5,1,14,9,1,513247
2517,2,4,2,1,1,252622
738,5,1,29,3,0,200559
4182,5,4,4,8,2,115084
3492,3,4,26,1,1,222003
2626,1,2,12,1,1,407435
2906,1,1,2,6,1,139220
4344,3,1,17,5,0,283356
1501,3,1,10,6,1,71366
1289,3,1,22,3,1,704813
2639,1,4,21,6,2,222935
609,5,2,15,2,2,743689
860,3,2,21,8,2,567426
2542,2,3,21,6,0,123818
2273,3,1,21,4,2,283133
2819,4,3,32,4,2,232443
3545,3,4,5,7,2,231313
2660,1,3,9,3,2,61676
1791,3,1,18,3,1,166094
4313,4,2,21,6,0,458498
2219,2,2,8,9,1,610510
920,5,1,34,1,1,570615
1942,3,4,10,5,0,252375
2236,4,1,24,1,1,69431
2976,4,4,24,1,2,717297
3432,2,2,32,3,0,61067
3424,1,4,33,3,1,663225
2594,3,1,34,4,1,687844
3558,4,1,11,3,2,466688
2543,2,1,31,6,1,486363
4221,5,4,18,4,1,675684
2638,4,4,23,8,1,376798
4090,2,4,22,1,0,515024
4277,1,2,18,8,0,243406
1718,1,3,20,1,1,276739
4488,4,3,13,1,1,720556
2204,4,1,1,7,2,278124
2965,3,2,4,1,0,270489
835,2,4,24,9,0,432567
2569,4,1,2,8,0,167041
933,3,2,28,1,1,261867
2508,3,1,26,2,2,153220
975,4,2,23,2,2,619978
4130,1,2,15,2,1,679648
1760,2,3,27,6,1,128923
3235,2,1,6,4,2,606114
2170,1,4,10,8,2,442384
3160,4,3,30,1,0,729913
1919,2,3,29,4,1,299438
3991,4,4,4,5,0,375309
3565,4,2,5,9,2,475890
4243,3,4,4,5,0,200631
2455,1,1,16,3,2,616540
1972,4,4,25,4,2,348248
4450,5,2,14,7,0,649957
1472,1,4,11,1,1,197679
1852,2,2,29,6,0,660927
2917,3,2,34,8,0,710430
2451,2,1,22,1,1,532124
3445,2,4,14,8,1,556644
1914,1,4,24,7,0,683652
1324,2,1,26,1,2,378680
3836,4,2,16,9,0,663872
2652,2,4,32,3,2,733930
3498,3,1,6,2,1,529671
4050,3,2,34,7,1,681504
677,5,1,8,3,2,512934
4081,3,4,30,1,0,554941
3221,2,1,27,3,1,320474
731,3,3,7,6,2,272911
1200,1,2,27,3,2,553798
2372,3,3,25,5,0,274156
1665,4,3,15,9,2,535753
2736,1,2,25,7,2,630108
3049,5,2,22,2,0,158235
2943,4,1,18,1,1,285328
2463,2,2,12,7,1,748578
1918,2,3,23,4,1,69990
1215,2,3,25,7,2,72778
4197,4,4,10,6,2,422340
3447,4,2,30,7,0,147448
4362,4,3,10,4,2,564882
4308,1,4,34,3,2,152334
3069,1,4,13,5,1,135012
2488,2,1,29,3,2,119871
1646,3,3,9,3,2,176445
1174,2,1,13,4,2,411017
2790,5,3,14,8,0,351734
1592,1,1,9,2,2,504733
3312,4,1,8,4,0,547808
2792,1,2,3,3,1,127145
1848,4,1,33,7,2,743226
3654,5,2,32,2,0,181909
1102,5,4,7,1,1,586195
2597,1,3,19,1,2,479154
1420,4,4,34,6,0,459026
4287,5,3,14,3,0,377744
2751,2,4,19,7,1,575870
3710,2,3,26,8,2,303439
2570,4,1,17,5,2,359849
797,1,3,28,5,2,540884
2269,5,3,19,2,0,339759
3226,1,4,27,8,2,135475
3038,2,4,19,1,0,155490
1802,5,4,33,9,0,582402
3201,1,2,7,1,1,388417
2071,3,2,29,1,0,146356
4171,4,3,5,1,1,308739
3686,4,3,30,7,1,692735
2246,3,1,8,4,2,268929
2292,2,1,12,7,1,92567
1912,5,3,13,5,2,588706
2635,4,2,26,7,1,364308
1077,3,3,18,7,0,586274
1854,3,1,20,4,2,622881
1522,2,2,16,2,0,356127
1019,2,2,3,8,2,172194
2804,1,1,27,2,0,562480
3197,4,3,15,9,1,575949
4112,1,4,34,5,2,420692
1720,3,3,22,9,2,185605
3668,5,3,23,9,2,369031
3644,5,1,4,8,1,582962
4082,2,2,23,8,0,584420
1550,5,1,9,4,1,206628
2936,5,3,24,4,1,386541
1877,5,4,21,2,1,594127
2843,3,4,16,4,0,250136
3245,5,4,25,4,1,302791
2457,5,1,26,6,2,276994
4193,5,2,9,3,1,496436
1116,1,1,15,2,0,447832
2258,3,4,33,8,2,388574
2465,2,3,1,2,0,323409
3512,1,2,5,8,1,738167
1741,4,1,9,7,0,287751
3453,3,1,6,3,2,240586
2532,3,2,28,6,0,247388
3830,4,2,26,6,2,124817
1414,4,3,28,5,2,418092
2875,4,2,15,8,1,747589
2500,2,3,6,5,1,232345
2863,5,4,27,7,2,639072
3595,3,4,4,6,0,296710
4367,5,1,11,7,2,546793
2662,5,4,21,9,1,312673
3828,4,4,30,3,0,204446
4319,2,3,18,7,2,187247
3932,1,1,3,3,1,630404
3828,2,2,12,2,2,119133
2694,5,1,27,7,2,582582
2971,2,4,30,4,2,399482
3491,4,2,21,1,0,372285
4356,1,1,21,6,1,271519
729,4,1,15,6,1,669888
4082,1,1,18,6,2,726015
694,5,1,29,2,2,459626
3274,1,3,21,1,2,513604
3402,1,1,17,3,0,423845
2555,1,4,18,2,1,302407
3963,2,4,12,6,2,224750
1393,2,3,11,6,1,82970
2434,5,2,20,5,2,573885
3954,1,2,9,5,1,471723
2716,3,4,1,9,2,252758
2283,5,4,3,5,0,138399
610,1,3,21,6,2,432405
3925,1,2,23,4,2,152874
2465,2,2,9,1,2,724757
3519,5,1,19,4,2,424474
3197,1,1,19,2,2,613943
3805,1,1,23,3,1,558389
1311,5,3,27,7,1,387590
2670,3,4,27,7,0,365783
1414,5,3,12,1,2,340974
945,5,2,27,8,1,554832
2949,3,4,34,7,1,68014
962,5,1,33,1,2,312617
3043,1,3,28,8,2,252803
2865,5,3,31,2,0,212931
2788,3,1,32,8,0,538805
4287,4,3,20,3,1,398902
3605,5,1,31,7,0,734268
3881,2,2,31,6,1,219765
1584,1,4,22,5,0,284491
3640,1,2,9,2,2,269948
4294,2,2,9,2,0,627990
2239,2,1,15,1,1,733705
1427,5,3,13,9,0,82687
3330,2,2,22,8,1,351725
4131,4,2,16,8,1,490609
3651,3,2,32,1,0,415877
955,2,3,2,5,0,429953
3655,2,3,26,6,1,730038
1947,4,1,14,2,2,610765
3804,1,2,34,5,0,375970
3535,1,4,8,6,1,519966
4476,5,3,21,9,2,604298
2463,4,1,28,1,1,118133
726,3,2,6,3,0,298934
3777,3,4,20,9,1,624931
3656,4,3,31,1,1,239065
1203,3,4,33,1,1,312572
4470,1,3,7,1,0,563335
4049,3,1,8,7,2,294855
2528,3,4,9,5,2,216150
1613,4,2,2,6,2,125708
650,4,2,17,8,2,315369
3700,3,3,17,2,0,677932
4133,2,2,30,2,1,665868
3967,4,4,6,3,2,197335
3968,5,1,4,3,2,342896
4397,5,3,9,3,0,102369
3426,1,4,6,4,1,656880
2030,3,3,13,3,1,382411
2392,2,1,22,2,2,671161
3461,1,3,28,9,2,354820
2236,3,2,30,6,1,173982
4076,4,2,2,3,0,519012
4017,5,3,8,9,1,243576
2245,2,1,9,4,1,192424
3067,5,1,1,4,2,561211
1805,4,2,13,8,0,236405
3630,3,1,15,7,0,119484
3472,4,3,32,7,0,144926
3672,4,4,34,7,2,372118
2454,5,3,31,5,0,125702
1166,2,2,14,7,0,474526
3018,4,2,14,4,2,695115
1535,5,2,29,8,1,454470
2534,2,1,19,9,0,588574
3308,3,3,27,3,1,526761
4102,3,4,9,7,0,391687
3616,1,3,28,9,1,337136
1932,5,4,24,1,1,646340
3808,2,3,28,2,2,725083
801,4,2,18,7,2,125183
4107,3,4,25,2,0,205662
2960,2,3,4,7,0,105002
716,5,1,14,1,2,499995
4337,1,1,26,3,0,297265
1536,3,3,8,5,0,203088
4474,2,2,24,6,2,457960
1174,2,4,16,9,1,561316
2891,2,3,20,9,0,170269
1136,5,1,15,3,2,421450
2225,5,4,7,8,0,499573
2722,5,1,17,4,0,352383
4477,4,1,22,7,2,466138
985,2,3,22,6,2,582203
3881,3,1,12,8,0,374291
1074,5,4,18,6,0,120631
1017,5,2,15,4,1,599661
2994,2,3,16,2,1,65156
4200,5,4,5,7,2,229623
3287,4,3,2,4,0,170661
1538,4,1,28,9,2,200725
1554,5,1,27,9,2,345212
1475,2,4,31,7,0,216745
1362,2,4,1,5,1,207227
1802,2,2,29,3,2,60570
1805,1,4,1,3,2,141736
1263,5,4,8,9,0,202841
624,2,3,16,9,1,98921
2590,4,1,28,4,1,472291
1803,3,4,22,1,0,594589
1309,3,2,18,5,2,446942
4172,2,4,22,8,0,294245
2479,3,1,12,4,0,501575
1784,3,4,19,4,1,377263
2824,1,3,25,9,2,129191
884,4,1,5,9,2,600635
662,4,4,34,7,1,705647
1602,1,3,10,8,2,82053
1261,1,1,7,4,2,642976
3313,3,4,15,8,0,448989
2803,5,3,24,6,0,186385
2092,3,2,26,3,0,465520
3720,1,3,26,7,2,689104
1566,4,2,26,3,2,91403
1448,3,4,10,7,2,435691
1707,5,3,17,5,2,429222
4032,3,2,14,4,1,574503
1288,2,1,2,3,1,660706
747,3,3,13,8,2,188391
4301,1,4,27,4,0,277307
941,4,1,9,8,0,736538
3123,4,2,7,3,1,733181
1686,1,3,10,9,1,585002
2324,2,3,9,6,2,304465
1983,1,4,22,5,2,527983
3208,3,1,23,5,2,404472
926,1,3,7,3,2,304539
2392,1,3,9,2,2,713484
2359,2,1,27,6,0,174312
3812,3,3,24,1,0,657170
1589,5,1,29,7,2,428486
2862,5,1,17,5,0,739484
3082,4,1,20,4,2,542800
1551,1,4,7,9,2,146951
1322,4,1,7,1,1,339655
3989,2,1,28,4,0,638876
2679,5,2,19,3,0,298274
3317,1,2,20,6,1,137567
2932,2,4,7,5,0,202287
3976,2,1,6,7,1,727211
1028,1,2,25,1,0,224622
2100,2,2,13,5,2,294676
885,1,3,22,2,1,701155
3815,1,1,17,2,2,454394
4095,3,2,22,2,2,259014
3690,4,4,34,9,0,144727
2665,2,3,8,3,1,432900
1368,2,3,18,4,2,537900
3237,3,1,24,5,2,353290
1994,3,1,2,4,1,652548
3846,3,3,2,4,0,576308
3657,5,4,27,5,2,541436
793,5,1,14,9,0,145066
3149,5,1,12,9,1,279570
1587,1,3,32,6,0,454417
1736,2,3,28,3,1,135547
2761,4,1,28,6,0,306404
3893,1,2,25,4,0,529303
2301,2,1,4,3,2,115103
1546,2,2,26,6,0,277214
1430,3,3,3,6,2,465880
4315,3,2,1,2,1,101456
2520,1,4,17,9,1,561728
3935,3,3,7,8,2,330808
3572,2,1,5,6,0,692672
654,3,1,19,1,1,505750
4314,5,3,34,2,1,166229
1399,3,3,16,4,1,388840
1377,2,4,27,7,2,726074
2081,1,3,25,9,1,326456
2501,4,1,26,5,1,166691
2809,3,4,14,2,1,701224
4051,2,1,14,1,1,95215
2734,4,2,14,1,2,409708
654,4,3,25,5,2,686901
4147,5,2,4,7,0,562100
2423,4,1,15,9,1,182184
1801,2,2,32,9,2,579102
4062,2,2,18,8,0,620552
4020,3,1,14,1,0,749844
3679,3,1,1,5,1,409001
1432,3,3,20,6,0,684264
912,4,2,10,6,2,520207
3406,4,4,10,4,0,410609
2458,5,4,24,1,0,288745
2607,3,1,34,3,2,624082
2606,1,1,28,4,0,613525
3090,5,2,27,4,0,173742
2390,1,1,1,4,0,555498
927,4,4,33,5,0,259079
3725,5,3,4,9,1,73417
3408,5,3,7,4,1,112328
3910,2,2,9,9,2,522126
3900,4,3,16,9,0,722133
3226,4,1,5,1,2,162116
3722,5,1,34,5,1,115443
4280,4,1,23,9,0,541121
4275,5,1,25,4,0,275189
3654,2,2,13,5,1,578225
1887,5,3,24,4,0,107119
4089,4,4,11,2,0,587058
4474,4,3,17,2,1,253609
2743,5,1,13,2,2,235380
1711,5,4,27,1,2,360092
3749,5,2,20,3,0,173612
1911,3,1,33,1,1,503318
3791,4,1,32,4,2,718966
3461,4,4,8,1,2,664502
3138,3,2,29,4,0,320490
1051,5,4,19,3,2,179726
2123,2,2,6,9,1,355169
764,5,1,21,1,2,110373
781,5,3,22,8,1,353064
3116,3,1,10,9,1,206083
1509,4,3,10,7,0,118266
3382,5,3,29,1,2,177847
1422,4,2,16,4,0,573205
1543,1,4,1,1,2,606074
2601,4,2,17,4,0,339088
2654,2,1,30,3,0,396061
929,2,4,26,2,0,232236
1374,5,3,19,1,2,267815
4344,4,3,21,6,0,245323
2798,5,1,17,7,1,489025
3756,3,4,21,6,2,328988
746,2,1,19,9,1,267484
4295,5,1,7,9,0,368077
4052,3,2,17,2,0,73144
1514,5,1,1,2,1,329793
2171,4,4,6,9,0,489861
1908,4,1,26,1,2,426099
3347,4,4,2,5,1,72818
681,4,3,32,1,2,321644
1113,1,1,5,7,2,96880
2520,3,4,31,9,2,478346
3462,3,3,12,6,0,217788
3356,4,4,30,2,0,353441
2539,1,3,6,6,1,341206
4194,4,2,15,9,1,613780
1345,1,1,15,3,2,671149
3670,4,1,16,9,0,247553
2009,2,3,20,8,0,358950
1306,2,2,13,7,0,134457
1070,5,4,31,8,1,654173
3790,4,2,34,6,0,659479
995,3,4,29,3,2,107674
2155,5,4,3,7,2,664703
2908,2,1,9,4,2,523698
1404,4,3,11,5,0,365271
1533,5,1,11,8,2,476718
1879,4,1,25,7,2,263265
2357,2,1,22,7,1,305365
1504,5,4,9,8,1,241796
3897,2,1,20,3,0,459456
1676,1,4,21,3,0,540102
3587,2,3,10,2,0,167889
2490,4,4,22,1,0,370688
